ee-action={'ee.x': 0.19836533069610596, 'ee.y': 0.03039707988500595, 'ee.z': 0.02954382263123989, 'ee.wx': -0.35009869933128357, 'ee.wy': 2.4083304405212402, 'ee.wz': 0.06276141107082367, 'ee.gripper_pos': 4.521559715270996},state_joint_obs:shoulder_pan.pos=-10.76923076923077,shoulder_lift.pos=-90.41758241758242,elbow_flex.pos=94.5934065934066,wrist_flex.pos=37.75824175824176,wrist_roll.pos=1.098901098901099,gripper=9.041309431021045,joint_action={'shoulder_pan.pos': -11.410792496166152, 'shoulder_lift.pos': -64.44746379591298, 'elbow_flex.pos': 82.99182664444606, 'wrist_flex.pos': 30.776418329129214, 'wrist_roll.pos': 7.73181849990072, 'gripper.pos': 4.521559715270996}
ee-action={'ee.x': 0.19662392139434814, 'ee.y': 0.030077241361141205, 'ee.z': 0.029023941606283188, 'ee.wx': -0.3933630883693695, 'ee.wy': 2.4219489097595215, 'ee.wz': 0.05207562819123268, 'ee.gripper_pos': 3.2863383293151855},state_joint_obs:shoulder_pan.pos=-11.296703296703297,shoulder_lift.pos=-64.57142857142857,elbow_flex.pos=86.15384615384616,wrist_flex.pos=31.604395604395606,wrist_roll.pos=7.252747252747253,gripper=4.910366328916601,joint_action={'shoulder_pan.pos': -11.326932909898751, 'shoulder_lift.pos': -72.21359769873371, 'elbow_flex.pos': 86.52074359105906, 'wrist_flex.pos': 40.0988225301733, 'wrist_roll.pos': 9.06562217593022, 'gripper.pos': 3.2863383293151855}
ee-action={'ee.x': 0.1952398419380188, 'ee.y': 0.029244692996144295, 'ee.z': 0.02715744450688362, 'ee.wx': -0.3901757597923279, 'ee.wy': 2.419909954071045, 'ee.wz': 0.041973721235990524, 'ee.gripper_pos': 2.8023557662963867},state_joint_obs:shoulder_pan.pos=-11.296703296703297,shoulder_lift.pos=-71.42857142857143,elbow_flex.pos=87.38461538461539,wrist_flex.pos=39.956043956043956,wrist_roll.pos=8.659340659340659,gripper=3.5853468433359312,joint_action={'shoulder_pan.pos': -11.14049985571934, 'shoulder_lift.pos': -73.67449216354402, 'elbow_flex.pos': 85.42555460887785, 'wrist_flex.pos': 40.1703713997875, 'wrist_roll.pos': 9.397565359647487, 'gripper.pos': 2.8023557662963867}
ee-action={'ee.x': 0.19355762004852295, 'ee.y': 0.029301568865776062, 'ee.z': 0.024559831246733665, 'ee.wx': -0.40361446142196655, 'ee.wy': 2.4189302921295166, 'ee.wz': 0.04167170450091362, 'ee.gripper_pos': 2.5734663009643555},state_joint_obs:shoulder_pan.pos=-11.296703296703297,shoulder_lift.pos=-72.92307692307692,elbow_flex.pos=87.38461538461539,wrist_flex.pos=40.043956043956044,wrist_roll.pos=9.010989010989011,gripper=3.117692907248636,joint_action={'shoulder_pan.pos': -11.521139328568006, 'shoulder_lift.pos': -74.53732644859792, 'elbow_flex.pos': 87.92507675229382, 'wrist_flex.pos': 39.68080248488693, 'wrist_roll.pos': 9.81601812025959, 'gripper.pos': 2.5734663009643555}
ee-action={'ee.x': 0.1933591067790985, 'ee.y': 0.02960137277841568, 'ee.z': 0.02247489243745804, 'ee.wx': -0.4339595139026642, 'ee.wy': 2.4188578128814697, 'ee.wz': 0.03877374902367592, 'ee.gripper_pos': 2.5075244903564453},state_joint_obs:shoulder_pan.pos=-11.296703296703297,shoulder_lift.pos=-73.97802197802197,elbow_flex.pos=88.61538461538461,wrist_flex.pos=40.043956043956044,wrist_roll.pos=9.362637362637363,gripper=2.8059236165237724,joint_action={'shoulder_pan.pos': -11.358267077950591, 'shoulder_lift.pos': -73.81431711205964, 'elbow_flex.pos': 87.09213607396086, 'wrist_flex.pos': 39.112241499609716, 'wrist_roll.pos': 10.874801974452442, 'gripper.pos': 2.5075244903564453}
ee-action={'ee.x': 0.19258348643779755, 'ee.y': 0.03020690754055977, 'ee.z': 0.0224123727530241, 'ee.wx': -0.49163538217544556, 'ee.wy': 2.417006015777588, 'ee.wz': 0.021690618246793747, 'ee.gripper_pos': 2.755486488342285},state_joint_obs:shoulder_pan.pos=-11.208791208791208,shoulder_lift.pos=-73.8021978021978,elbow_flex.pos=88.61538461538461,wrist_flex.pos=39.956043956043956,wrist_roll.pos=10.417582417582418,gripper=2.8059236165237724,joint_action={'shoulder_pan.pos': -11.807943249376809, 'shoulder_lift.pos': -73.75712752473122, 'elbow_flex.pos': 87.48808160238248, 'wrist_flex.pos': 39.94500386595434, 'wrist_roll.pos': 13.174870755692524, 'gripper.pos': 2.755486488342285}
ee-action={'ee.x': 0.19303207099437714, 'ee.y': 0.029851481318473816, 'ee.z': 0.02546003647148609, 'ee.wx': -0.5108840465545654, 'ee.wy': 2.4442076683044434, 'ee.wz': 0.019104551523923874, 'ee.gripper_pos': 2.9132041931152344},state_joint_obs:shoulder_pan.pos=-11.384615384615385,shoulder_lift.pos=-73.8021978021978,elbow_flex.pos=88.61538461538461,wrist_flex.pos=40.13186813186813,wrist_roll.pos=12.527472527472527,gripper=2.8059236165237724,joint_action={'shoulder_pan.pos': -11.434442558868097, 'shoulder_lift.pos': -69.02750001993341, 'elbow_flex.pos': 83.40317135986567, 'wrist_flex.pos': 39.95661733611263, 'wrist_roll.pos': 13.66833688679456, 'gripper.pos': 2.9132041931152344}
ee-action={'ee.x': 0.19281119108200073, 'ee.y': 0.030296016484498978, 'ee.z': 0.02880743518471718, 'ee.wx': -0.5507875680923462, 'ee.wy': 2.4415202140808105, 'ee.wz': 0.004282526671886444, 'ee.gripper_pos': 2.890596389770508},state_joint_obs:shoulder_pan.pos=-11.384615384615385,shoulder_lift.pos=-70.9010989010989,elbow_flex.pos=87.2967032967033,wrist_flex.pos=40.13186813186813,wrist_roll.pos=13.054945054945055,gripper=2.8059236165237724,joint_action={'shoulder_pan.pos': -12.020730012485707, 'shoulder_lift.pos': -71.68104804006387, 'elbow_flex.pos': 84.63875477254719, 'wrist_flex.pos': 42.629580255020805, 'wrist_roll.pos': 15.362010720478173, 'gripper.pos': 2.890596389770508}
ee-action={'ee.x': 0.19230392575263977, 'ee.y': 0.030075058341026306, 'ee.z': 0.029979169368743896, 'ee.wx': -0.6119483709335327, 'ee.wy': 2.4361023902893066, 'ee.wz': -0.013890281319618225, 'ee.gripper_pos': 2.557588577270508},state_joint_obs:shoulder_pan.pos=-11.824175824175825,shoulder_lift.pos=-70.46153846153847,elbow_flex.pos=86.68131868131869,wrist_flex.pos=41.97802197802198,wrist_roll.pos=14.461538461538462,gripper=2.8059236165237724,joint_action={'shoulder_pan.pos': -11.955694472654343, 'shoulder_lift.pos': -68.10069687751512, 'elbow_flex.pos': 81.84974325005427, 'wrist_flex.pos': 42.75992900616679, 'wrist_roll.pos': 17.77254975967544, 'gripper.pos': 2.557588577270508}
ee-action={'ee.x': 0.19243541359901428, 'ee.y': 0.029610030353069305, 'ee.z': 0.0318152979016304, 'ee.wx': -0.6712766289710999, 'ee.wy': 2.439013957977295, 'ee.wz': -0.03157168626785278, 'ee.gripper_pos': 2.1182737350463867},state_joint_obs:shoulder_pan.pos=-11.824175824175825,shoulder_lift.pos=-69.05494505494505,elbow_flex.pos=86.68131868131869,wrist_flex.pos=42.59340659340659,wrist_roll.pos=16.65934065934066,gripper=2.6500389711613406,joint_action={'shoulder_pan.pos': -11.96833971598244, 'shoulder_lift.pos': -68.54681382962855, 'elbow_flex.pos': 82.68821180938205, 'wrist_flex.pos': 44.479257430440036, 'wrist_roll.pos': 20.18735835844298, 'gripper.pos': 2.1182737350463867}
ee-action={'ee.x': 0.1921415776014328, 'ee.y': 0.029676135629415512, 'ee.z': 0.03356306254863739, 'ee.wx': -0.7025415301322937, 'ee.wy': 2.411234140396118, 'ee.wz': -0.04497028514742851, 'ee.gripper_pos': 1.8401908874511719},state_joint_obs:shoulder_pan.pos=-11.824175824175825,shoulder_lift.pos=-68.26373626373626,elbow_flex.pos=86.68131868131869,wrist_flex.pos=44.0,wrist_roll.pos=19.032967032967033,gripper=2.4162120031176926,joint_action={'shoulder_pan.pos': -12.061100575551102, 'shoulder_lift.pos': -71.21738485234854, 'elbow_flex.pos': 82.72877885679578, 'wrist_flex.pos': 46.14045628562918, 'wrist_roll.pos': 21.77166549063037, 'gripper.pos': 1.8401908874511719}
